Crude Oil Production United Arab Emirates Monthly,
https://www.eia.gov/opendata/qb.php?category=1039874&sdid=STEO.COPR_TC.M,
22:35:04 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.COPR_TC.M million barrels per day
Mar-22,2.97
Feb-22,2.945
Jan-22,2.91
Dec-21,2.9
Nov-21,2.85
Oct-21,2.83
Sep-21,2.79
Aug-21,2.77
Jul-21,2.72
Jun-21,2.69
May-21,2.64
Apr-21,2.61
Mar-21,2.61
Feb-21,2.61
Jan-21,2.61
Dec-20,2.58
Nov-20,2.51
Oct-20,2.42
Sep-20,2.5
Aug-20,2.7
Jul-20,2.45
Jun-20,2.35
May-20,2.5
Apr-20,3.8
Mar-20,3.5
Feb-20,3.2
Jan-20,3.2
Dec-19,3.15
Nov-19,3.25
Oct-19,3.2
Sep-19,3.15
Aug-19,3.15
Jul-19,3.1
Jun-19,3.15
May-19,3.1
Apr-19,3.1
Mar-19,3.1
Feb-19,3.15
Jan-19,3.1
Dec-18,3.18
Nov-18,3.14
Oct-18,3
Sep-18,2.95
Aug-18,2.95
Jul-18,2.91
Jun-18,2.88
May-18,2.84
Apr-18,2.86
Mar-18,2.85
Feb-18,2.87
Jan-18,2.91
Dec-17,2.9
Nov-17,2.88
Oct-17,2.91
Sep-17,2.92
Aug-17,2.92
Jul-17,2.92
Jun-17,2.92
May-17,2.9
Apr-17,2.88
Mar-17,2.9
Feb-17,2.92
Jan-17,2.94
Dec-16,3.1
Nov-16,3.1
Oct-16,3.07
Sep-16,3.09
Aug-16,3.06
Jul-16,3.03
Jun-16,3.01
May-16,2.98
Apr-16,2.8
Mar-16,2.79
Feb-16,2.765
Jan-16,2.985
Dec-15,2.94
Nov-15,2.92
Oct-15,2.93
Sep-15,2.92
Aug-15,2.92
Jul-15,2.91
Jun-15,2.91
May-15,2.9
Apr-15,2.89
Mar-15,2.86
Feb-15,2.85
Jan-15,2.84
Dec-14,2.81
Nov-14,2.77
Oct-14,2.74
Sep-14,2.78
Aug-14,2.88
Jul-14,2.85
Jun-14,2.85
May-14,2.8
Apr-14,2.6
Mar-14,2.8
Feb-14,2.7
Jan-14,2.7
Dec-13,2.7
Nov-13,2.7
Oct-13,2.7
Sep-13,2.7
Aug-13,2.7
Jul-13,2.7
Jun-13,2.7
May-13,2.7
Apr-13,2.7
Mar-13,2.7
Feb-13,2.7
Jan-13,2.7
Dec-12,2.7
Nov-12,2.7
Oct-12,2.7
Sep-12,2.7
Aug-12,2.7
Jul-12,2.7
Jun-12,2.7
May-12,2.7
Apr-12,2.7
Mar-12,2.7
Feb-12,2.6
Jan-12,2.6
Dec-11,2.6
Nov-11,2.6
Oct-11,2.6
Sep-11,2.6
Aug-11,2.6
Jul-11,2.6
Jun-11,2.6
May-11,2.6
Apr-11,2.6
Mar-11,2.5
Feb-11,2.4
Jan-11,2.4
Dec-10,2.3
Nov-10,2.3
Oct-10,2.3
Sep-10,2.3
Aug-10,2.3
Jul-10,2.3
Jun-10,2.3
May-10,2.3
Apr-10,2.3
Mar-10,2.3
Feb-10,2.3
Jan-10,2.3
Dec-09,2.3
Nov-09,2.3
Oct-09,2.3
Sep-09,2.3
Aug-09,2.3
Jul-09,2.3
Jun-09,2.3
May-09,2.3
Apr-09,2.3
Mar-09,2.3
Feb-09,2.3
Jan-09,2.3
Dec-08,2.45
Nov-08,2.45
Oct-08,2.55
Sep-08,2.6
Aug-08,2.6
Jul-08,2.6
Jun-08,2.6
May-08,2.6
Apr-08,2.6
Mar-08,2.6
Feb-08,2.6
Jan-08,2.6
Dec-07,2.55
Nov-07,2.15
Oct-07,2.6
Sep-07,2.6
Aug-07,2.55
Jul-07,2.5
Jun-07,2.5
May-07,2.5
Apr-07,2.5
Mar-07,2.5
Feb-07,2.46
Jan-07,2.5
Dec-06,2.5
Nov-06,2.5
Oct-06,2.6
Sep-06,2.6
Aug-06,2.6
Jul-06,2.6
Jun-06,2.5
May-06,2.5
Apr-06,2.5
Mar-06,2.5
Feb-06,2.5
Jan-06,2.5
Dec-05,2.5
Nov-05,2.5
Oct-05,2.5
Sep-05,2.5
Aug-05,2.45
Jul-05,2.4
Jun-05,2.3
May-05,2.3
Apr-05,2.5
Mar-05,2.45
Feb-05,2.4
Jan-05,2.4
Dec-04,2.5
Nov-04,2.5
Oct-04,2.5
Sep-04,2.5
Aug-04,2.5
Jul-04,2.43
Jun-04,2.41
May-04,2.18
Apr-04,2.12
Mar-04,2.27
Feb-04,2.32
Jan-04,2.3
Dec-03,2.3
Nov-03,2.25
Oct-03,2.23
Sep-03,2.2
Aug-03,2.24
Jul-03,2.25
Jun-03,2.25
May-03,2.3
Apr-03,2.35
Mar-03,2.35
Feb-03,2.15
Jan-03,2.1
Dec-02,2.04
Nov-02,2
Oct-02,2.013
Sep-02,2.003
Aug-02,1.99
Jul-02,1.98
Jun-02,1.96
May-02,1.96
Apr-02,1.97
Mar-02,1.955
Feb-02,1.95
Jan-02,1.96
Dec-01,1.973030096
Nov-01,1.973030096
Oct-01,1.973030096
Sep-01,2.002045244
Aug-01,2.076517458
Jul-01,2.089090689
Jun-01,2.108434122
May-01,2.124876039
Apr-01,2.176136135
Mar-01,2.26318158
Feb-01,2.224494716
Jan-01,2.282525013
Dec-00,2.34
Nov-00,2.335
Oct-00,2.33
Sep-00,2.31
Aug-00,2.3
Jul-00,2.24
Jun-00,2.2
May-00,2.3
Apr-00,2.3
Mar-00,2.22
Feb-00,2.17
Jan-00,2.165
Dec-99,2.07451027
Nov-99,2.024522071
Oct-99,2.06451263
Sep-99,2.06451263
Aug-99,2.05951381
Jul-99,2.04951617
Jun-99,2.029520891
May-99,2.04951617
Apr-99,2.09950437
Mar-99,2.154491389
Feb-99,2.249468967
Jan-99,2.159490209
Dec-98,2.21
Nov-98,2.21
Oct-98,2.21
Sep-98,2.22
Aug-98,2.22
Jul-98,2.2
Jun-98,2.22
May-98,2.25
Apr-98,2.34
Mar-98,2.4
Feb-98,2.355
Jan-98,2.355
Dec-97,2.23
Nov-97,2.225
Oct-97,2.245
Sep-97,2.245
Aug-97,2.245
Jul-97,2.245
Jun-97,2.245
May-97,2.13
Apr-97,2.28
Mar-97,2.28
Feb-97,2.25
Jan-97,2.22
Dec-96,2.225
Nov-96,2.17
Oct-96,2.23
Sep-96,2.23
Aug-96,2.18
Jul-96,2.18
Jun-96,2.19
May-96,2.195
Apr-96,2.17
Mar-96,2.205
Feb-96,2.185
Jan-96,2.21
Dec-95,2.089780333
Nov-95,2.153403622
Oct-95,2.153403622
Sep-95,2.153403622
Aug-95,2.153403622
Jul-95,2.153403622
Jun-95,2.153403622
May-95,2.153403622
Apr-95,2.153403622
Mar-95,2.153403622
Feb-95,2.153403622
Jan-95,2.153403622
Dec-94,2.19995654
Nov-94,2.17088232
Oct-94,2.17088232
Sep-94,2.20964794
Aug-94,2.20964794
Jul-94,2.20964794
Jun-94,2.20964794
May-94,2.19026513
Apr-94,2.18057373
Mar-94,2.18057373
Feb-94,2.20480224
Jan-94,2.18057373
Dec-93,2.088774
Nov-93,2.088774
Oct-93,2.088774
Sep-93,2.088774
Aug-93,2.07914
Jul-93,2.07914
Jun-93,2.098408
May-93,2.098408
Apr-93,2.136945
Mar-93,2.136945
Feb-93,2.170664
Jan-93,2.16103
