Source: IEA. All Rights Reserved,,,,,,,
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/,,,,,,,
Units: billion cubic meters,,,,,,,
,OECD,Non-OECD Europe and Eurasia,Non-OECD Middle East,Non-OECD Asia (Incl. China),Non-OECD Africa,Non-OECD Americas,
1973,878.132,273.215973,25.38823,17.846117,9.727192,19.820409,1224.129921
1974,869.226941,299.100838,26.240363,23.240464,10.163994,20.886714,1248.859314
1975,835.413464,330.620955,28.452371,26.652415,11.823694,20.857936,1253.820835
1976,845.208315,366.720748,30.49586,31.422759,13.665009,22.042461,1309.555152
1977,859.031635,394.468522,33.564242,38.400386,14.072013,23.62038,1363.157178
1978,864.528944,421.585225,32.174216,47.590377,18.626375,23.759724,1408.264861
1979,901.552428,455.047594,37.933272,53.306915,28.177866,26.338032,1502.356107
1980,892.923232,485.154669,37.835208,59.304336,22.634939,28.28554,1526.137924
1981,883.279412,513.678458,44.73894,58.316544,24.995734,28.598419,1553.607507
1982,833.092605,548.732808,47.720286,61.113121,30.011753,31.452893,1552.123466
1983,786.406667,581.637098,47.497866,69.171289,40.306644,33.811206,1558.83077
1984,835.844486,630.322851,54.822206,83.19053,41.031785,37.302943,1682.514801
1985,823.175508,683.438388,58.133695,89.231747,46.103404,37.98917,1738.071912
1986,800.437715,726.846637,69.012644,98.055019,49.533706,40.528818,1784.414539
1987,829.843324,765.887808,75.713661,106.268647,54.345255,41.327905,1873.3866
1988,845.325263,808.631962,83.938383,113.389376,57.08957,44.845028,1953.219582
1989,865.046554,830.746605,95.739416,120.932906,63.813817,48.368189,2024.647487
1990,885.81871,831.165947,91.106275,132.003509,67.031076,49.652873,2056.77839
1991,907.788203,825.588353,96.244274,146.151307,72.907562,50.791541,2099.47124
1992,926.061282,788.634702,103.115915,153.673256,76.18493,51.573865,2099.24395
1993,962.444199,775.138602,114.492472,161.617752,78.893617,54.7308,2147.317442
1994,999.692241,730.706438,129.542907,173.015745,75.062405,57.303139,2165.322875
1995,1014.389651,716.362571,139.028028,184.259324,82.240381,60.754697,2197.034652
1996,1068.246074,721.251168,143.507043,200.752486,87.029272,67.04364,2287.829683
1997,1073.890587,674.083389,157.831357,217.362788,97.600428,69.751998,2290.520547
1998,1080.365956,691.256858,166.835946,221.596042,102.764594,76.252611,2339.072007
1999,1089.950533,704.192534,183.097372,238.663931,115.935818,80.505562,2412.34575
2000,1117.381297,719.761368,196.247288,248.376487,124.188599,90.673664,2496.628703
2001,1137.816448,718.967721,213.309077,250.139887,128.365554,91.79759,2540.396277
2002,1129.132015,738.35571,232.234078,269.228609,132.435587,101.556154,2602.942153
2003,1131.185476,768.678815,248.660252,289.27097,145.931844,114.439663,2698.16702
2004,1128.970029,790.764507,274.383067,309.402979,154.735627,124.070904,2782.327113
2005,1111.748838,806.040354,300.350354,330.989426,185.864395,126.106434,2861.099801
2006,1129.42437,822.740511,326.167958,345.825303,194.600221,134.944754,2953.703117
2007,1140.348075,832.355736,351.112398,361.693666,207.192686,136.918726,3029.621287
2008,1177.839357,859.825192,381.77021,381.917629,209.501611,139.323069,3150.177068
2009,1167.112781,760.059264,401.023789,398.243159,195.734729,133.148322,3055.322044
2010,1193.372606,841.222142,463.345052,427.870288,203.023148,145.910847,3274.744083
2011,1216.064068,875.298942,504.97526,427.099533,196.543502,150.025053,3370.006358
2012,1243.218324,864.965964,530.823865,426.83538,205.370732,157.897757,3429.112022
2013,1255.24504,891.25569,545.647467,443.617103,192.734344,160.477647,3488.977291
2014,1293.285797,861.621227,560.395057,456.351356,202.224569,163.080945,3536.958951
2015,1318.034262,852.327632,577.295203,456.697861,203.82692,162.688643,3570.870521
2016,1334.769186,856.221903,598.138963,456.6873,218.541772,161.029769,3625.388893
2017,1377.905736,913.239608,614.366773,457.335324,236.60977,162.163264,3761.620475
2018,1483.765347,974.785544,627.02754,478.971282,247.688874,160.938005,3973.176592
2019,1568.015167,1002.416924,646.255441,490.661972,249.247911,158.707022,4115.304437
2020,1541.910041,956.565559,644.541,487.59134,244.231017,139.088021,4013.926978
