OPEC Total Spare Crude Oil Production Capacity Monthly,
https://www.eia.gov/opendata/qb.php?category=1039872&sdid=STEO.COPS_OPEC.M,
22:52:38 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.COPS_OPEC.M million barrels per day
Dec-23,3.523396
Nov-23,3.522056
Oct-23,3.510715
Sep-23,3.504375
Aug-23,3.503035
Jul-23,3.491695
Jun-23,3.485354
May-23,3.474014
Apr-23,3.472674
Mar-23,3.456333
Feb-23,3.454993
Jan-23,3.443653
Dec-22,3.336313
Nov-22,3.334972
Oct-22,3.343577
Sep-22,3.11849
Aug-22,3.183346
Jul-22,3.258402
Jun-22,4.143059
May-22,3.337917
Apr-22,3.382772
Mar-22,3.605
Feb-22,3.405
Jan-22,3.86
Dec-21,3.98
Nov-21,4.085
Oct-21,4.435
Sep-21,4.655
Aug-21,4.935
Jul-21,5.14
Jun-21,5.825
May-21,6.333
Apr-21,6.715
Mar-21,6.685
Feb-21,6.745
Jan-21,5.835
Dec-20,6.055
Nov-20,6.25
Oct-20,6.45
Sep-20,6.535
Aug-20,6.65
Jul-20,7.73
Jun-20,8.52
May-20,6.817917
Apr-20,1.075
Mar-20,2.715
Feb-20,2.82
Jan-20,2.82
Dec-19,2.55
Nov-19,1.96
Oct-19,1.71
Sep-19,1.61
Aug-19,2.51
Jul-19,2.71
Jun-19,2.39
May-19,2.5
Apr-19,2.5
Mar-19,2.54
Feb-19,1.99
Jan-19,1.97
Dec-18,1.13
Nov-18,0.66
Oct-18,1.055
Sep-18,1.27
Aug-18,1.345
Jul-18,1.366
Jun-18,1.556
May-18,1.89
Apr-18,1.94
Mar-18,1.93
Feb-18,1.8
Jan-18,1.74
Dec-17,2.28
Nov-17,2.26
Oct-17,2.24
Sep-17,2.06
Aug-17,2.17
Jul-17,2.135
Jun-17,2.085
May-17,2.33
Apr-17,2.47
Mar-17,2.495
Feb-17,2.4
Jan-17,2.22
Dec-16,1.280292
Nov-16,1.18003
Oct-16,1.239673
Sep-16,1.23048
Aug-16,1.190257
Jul-16,1.170005
Jun-16,1.339217
May-16,1.539372
Apr-16,1.860287
Mar-16,1.720178
Feb-16,1.74047
Jan-16,1.550458
Dec-15,1.629802
Nov-15,1.679561
Oct-15,1.630152
Sep-15,1.530357
Aug-15,1.53017
Jul-15,1.460276
Jun-15,1.400246
May-15,1.600471
Apr-15,1.860331
Mar-15,1.879726
Feb-15,2.279944
Jan-15,2.380322
Dec-14,2.400223
Nov-14,2.350023
Oct-14,2.335499
Sep-14,2.510674
Aug-14,2.450122
Jul-14,2.400621
Jun-14,2.600563
May-14,2.549889
Apr-14,2.650028
Mar-14,2.650229
Feb-14,2.399316
Jan-14,2.349947
Dec-13,2.569989
Nov-13,2.570112
Oct-13,2.569315
Sep-13,2.270805
Aug-13,2.170249
Jul-13,2.369154
Jun-13,2.570282
May-13,2.87021
Apr-13,2.969869
Mar-13,3.270088
Feb-13,3.26967
Jan-13,3.269706
Dec-12,3.11911
Nov-12,2.819124
Oct-12,2.59932
Sep-12,2.599154
Aug-12,2.369647
Jul-12,2.469875
Jun-12,2.459026
May-12,2.73904
Apr-12,2.53893
Mar-12,2.539132
Feb-12,2.619547
Jan-12,2.820231
Dec-11,3.169653
Nov-11,3.170404
Oct-11,3.519861
Sep-11,3.270302
Aug-11,3.069923
Jul-11,3.220216
Jun-11,3.419777
May-11,4.120193
Apr-11,4.119548
Mar-11,4.32013
Feb-11,4.319258
Jan-11,4.738903
Dec-10,5.239687
Nov-10,5.290083
Oct-10,5.33985
Sep-10,5.329896
Aug-10,5.319837
Jul-10,5.330335
Jun-10,5.430283
May-10,5.499673
Apr-10,5.409852
Mar-10,5.10996
Feb-10,5.199746
Jan-10,5.249896
Dec-09,4.92
Nov-09,4.82
Oct-09,4.82
Sep-09,4.82
Aug-09,4.32
Jul-09,3.92
Jun-09,3.89
May-09,3.84
Apr-09,3.84
Mar-09,3.79
Feb-09,3.79
Jan-09,3.690484
Dec-08,2.63
Nov-08,1.93
Oct-08,1.38
Sep-08,1.33
Aug-08,1.13
Jul-08,1.03
Jun-08,1.28
May-08,1.33
Apr-08,1.63
Mar-08,1.53
Feb-08,1.53
Jan-08,1.48
Dec-07,1.52008
Nov-07,1.55004
Oct-07,1.78
Sep-07,1.89
Aug-07,2.14
Jul-07,2.205
Jun-07,2.25
May-07,2.31
Apr-07,2.31
Mar-07,2.31
Feb-07,2.41
Jan-07,2.19
Dec-06,2.11
Nov-06,2.01
Oct-06,1.73
Sep-06,1.53
Aug-06,1.26
Jul-06,1.26
Jun-06,1.47
May-06,1.405
Apr-06,1.215
Mar-06,1.215
Feb-06,1.04
Jan-06,1.09
Dec-05,0.98
Nov-05,0.98
Oct-05,0.98
Sep-05,0.88
Aug-05,0.93
Jul-05,1
Jun-05,1.1
May-05,1.11
Apr-05,0.91
Mar-05,1.06
Feb-05,1.11
Jan-05,1.11
Dec-04,0.670033
Nov-04,0.677761
Oct-04,0.677761
Sep-04,0.677761
Aug-04,0.677761
Jul-04,0.75549
Jun-04,0.77549
May-04,2.001626
Apr-04,2.211626
Mar-04,2.056626
Feb-04,1.761626
Jan-04,1.781626
Dec-03,1.735600008
Nov-03,2.155299819
Oct-03,2.075482536
Sep-03,2.296768688
Aug-03,2.195518979
Jul-03,2.17930151
Jun-03,2.138373718
May-03,1.185701607
Apr-03,0.820810906
Mar-03,0.957693415
Feb-03,2.364945397
Jan-03,2.832540942
Dec-02,4.375917296
Nov-02,4.529155054
Oct-02,4.601726452
Sep-02,5.367436908
Aug-02,6.174521862
Jul-02,6.027128012
Jun-02,6.596900214
May-02,6.315359665
Apr-02,7.161444619
Mar-02,5.957197468
Feb-02,6.160822971
Jan-02,6.19418202
Dec-01,5.836847786
Nov-01,4.941115178
Oct-01,4.850827351
Sep-01,4.809513374
Aug-01,4.008375777
Jul-01,4.510585149
Jun-01,5.731902669
May-01,4.237137465
Apr-01,3.992545903
Mar-01,3.320851646
Feb-01,3.990846886
Jan-01,3.600506714
Dec-00,3.595280117
Nov-00,2.164038078
Oct-00,2.113616955
Sep-00,2.385143139
Aug-00,2.357776189
Jul-00,3.328323612
Jun-00,3.597255348
May-00,3.188044202
Apr-00,3.719956978
Mar-00,4.627852955
Feb-00,4.561119362
Jan-00,5.22410088
Dec-99,6.599579278
Nov-99,5.724304326
Oct-99,5.189244447
Sep-99,5.253699954
Aug-99,5.278690105
Jul-99,5.513548373
Jun-99,6.053815254
May-99,5.54389269
Apr-99,5.479392707
Mar-99,4.290549775
Feb-99,4.040445351
Jan-99,4.560483815
Dec-98,4.13665061
Nov-98,3.88165061
Oct-98,4.151781987
Sep-98,4.016781987
Aug-98,4.101981208
Jul-98,3.83180604
Jun-98,3.707049053
May-98,3.192049053
Apr-98,3.123698716
Mar-98,3.051260796
Feb-98,3.035260796
Jan-98,3.487017782
Dec-97,3.179396367
Nov-97,2.813489282
Oct-97,2.583432746
Sep-97,2.730500245
Aug-97,2.736009035
Jul-97,3.861251424
Jun-97,3.875813421
May-97,3.457945629
Apr-97,3.193376087
Mar-97,3.437868645
Feb-97,3.633184528
Jan-97,3.886239612
Dec-96,2.308158175
Nov-96,2.827909602
Oct-96,2.875194529
Sep-96,3.023155288
Aug-96,3.073662386
Jul-96,3.070140289
Jun-96,3.223981416
May-96,3.372727492
Apr-96,3.434499394
Mar-96,3.23171148
Feb-96,3.329205395
Jan-96,3.422591346
Dec-95,3.101861435
Nov-95,3.208238146
Oct-95,2.878280139
Sep-95,3.113267298
Aug-95,2.907929341
Jul-95,3.158971526
Jun-95,3.479096504
May-95,2.824090144
Apr-95,3.349084783
Mar-95,3.869076303
Feb-95,3.521106049
Jan-95,3.668885587
Dec-94,3.595968874
Nov-94,3.560796264
Oct-94,3.56555387
Sep-94,3.628152721
Aug-94,4.077847598
Jul-94,3.781559831
Jun-94,3.688390638
May-94,3.797824963
Apr-94,3.941165245
Mar-94,3.785555145
Feb-94,3.828501482
Jan-94,3.812911367
Dec-93,3.186563
Nov-93,3.496092
Oct-93,3.209949
Sep-93,3.16056
Aug-93,3.275046
Jul-93,3.36085
Jun-93,3.64887
May-93,3.770457
Apr-93,3.944178
Mar-93,3.430944
Feb-93,2.82646
Jan-93,2.987488
